transaction_id;order_reference;sale_date;gross_amount;payment_method;installments
TX-0001;PED-1001;2026-08-01;1000.00;CREDITO;1
TX-0002;PED-1002;2026-08-01;500.00;DEBITO;1
TX-0003;PED-1003;2026-08-02;250.00;CREDITO;1
TX-0004;PED-1004;2026-08-02;800.00;CREDITO;1
TX-0005;PED-1005;2026-08-03;1200.00;CREDITO;1
TX-0006;PED-1006;2026-08-03;99.90;PIX;1
TX-0007;PED-1007;2026-08-04;1.899,00;CREDITO_PARCELADO;3
TX-0008;PED-1008;2026-08-04;349.00;DEBITO;1
linha corrompida que o parser nao consegue ler
TX-0009;PED-1009;data-invalida;100.00;CREDITO;1
